d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.036811
1,1,16,16,4.000000,1.036393
1,1,20,20,4.321928,1.036377
1,1,22,22,4.459432,1.035477
1,1,33,33,5.044394,1.036747
1,1,46,46,5.523562,1.036472
1,1,48,48,5.584963,1.036627
1,1,49,49,5.614710,1.036036
1,1,59,59,5.882643,1.035516
1,1,66,66,6.044394,1.035972
1,1,75,75,6.228819,1.036661
1,1,87,87,6.442943,1.036491
1,1,111,111,6.794416,1.035581
1,1,149,149,7.219169,1.039127
1,1,227,227,7.826548,1.039203
1,1,636,636,9.312883,1.565397
1,1,698,698,9.447083,1.579933
1,1,797,797,9.638436,1.630218
1,1,931,931,9.862637,1.629963
1,1,1006,1006,9.974415,1.630477
1,1,1115,1115,10.122828,1.566409
1,1,1437,1437,10.488844,1.593946
1,1,1446,1446,10.497852,1.591852
1,1,1619,1619,10.660887,1.653905
1,1,1695,1695,10.727070,1.630726
1,1,2434,2434,11.249113,1.677351
1,1,4739,4739,12.210367,1.676793
1,1,10690,10690,13.383974,1.779409
1,1,14019,14019,13.775096,1.807911
1,1,20704,20704,14.337622,1.956059
1,1,21218,21218,14.373001,1.956402
1,1,35734,35734,15.125010,2.111722
1,1,49863,49863,15.605682,2.294592
1,8,10,80,6.321928,1.036354
1,8,16,128,7.000000,1.036987
1,8,19,152,7.247928,1.035433
1,8,27,216,7.754888,1.034747
1,8,28,224,7.807355,1.036623
1,8,36,288,8.169925,1.036878
1,8,39,312,8.285402,1.037247
1,8,42,336,8.392317,1.036627
1,8,71,568,9.149747,1.036731
1,8,81,648,9.339850,1.036658
1,8,85,680,9.409391,1.036019
1,8,90,720,9.491853,1.036034
1,8,116,928,9.857981,1.036222
1,8,126,1008,9.977280,1.036290
1,8,148,1184,10.209453,1.630808
1,8,155,1240,10.276124,1.630826
1,8,165,1320,10.366322,1.631347
1,8,185,1480,10.531381,1.630337
1,8,208,1664,10.700440,1.631402
1,8,250,2000,10.965784,1.631219
1,8,267,2136,11.060696,1.575317
1,8,283,2264,11.144658,1.587477
1,8,300,2400,11.228819,1.573725
1,8,312,2496,11.285402,1.574307
1,8,336,2688,11.392317,1.573954
1,8,490,3920,11.936638,1.621941
1,8,527,4216,12.041659,1.631065
1,8,602,4816,12.233620,1.631159
1,8,705,5640,12.461479,1.611830
1,8,846,6768,12.724514,1.646031
1,8,1235,9880,13.270295,1.630971
1,8,1619,12952,13.660887,1.679456
1,8,2567,20536,14.325868,1.678918
1,8,2582,20656,14.334273,1.677311
1,8,3222,25776,14.653741,1.688371
1,8,3726,29808,14.863412,1.741053
1,8,3811,30488,14.895954,1.742521
1,8,4292,34336,15.067434,1.745241
1,8,7511,60088,15.874789,1.831994
1,8,7749,61992,15.919794,1.844553
1,8,9317,74536,16.185650,1.959537
1,8,10422,83376,16.347345,1.957244
1,8,12212,97696,16.576012,1.958316
1,8,16946,135568,17.048657,2.046706
1,8,30026,240208,17.873925,2.341982
1,8,45294,362352,18.467032,2.675866
1,8,48074,384592,18.552969,2.713032
1,8,48314,386512,18.560154,2.707880
1,16,8,128,7.000000,1.036030
1,16,9,144,7.169925,1.631222
1,16,10,160,7.321928,1.630497
1,16,14,224,7.807355,1.614999
1,16,22,352,8.459432,1.615530
1,16,29,464,8.857981,1.630794
1,16,31,496,8.954196,1.631046
1,16,49,784,9.614710,1.615470
1,16,76,1216,10.247928,1.615143
1,16,112,1792,10.807355,1.614977
1,16,126,2016,10.977280,1.616047
1,16,128,2048,11.000000,1.611871
1,16,159,2544,11.312883,1.622070
1,16,183,2928,11.515700,1.622686
1,16,192,3072,11.584963,1.612997
1,16,219,3504,11.774787,1.610401
1,16,273,4368,12.092757,1.609940
1,16,274,4384,12.098032,1.611694
1,16,298,4768,12.219169,1.610412
1,16,331,5296,12.370687,1.628824
1,16,392,6272,12.614710,1.683829
1,16,693,11088,13.436712,1.632438
1,16,828,13248,13.693487,1.667827
1,16,994,15904,13.957102,1.678487
1,16,1152,18432,14.169925,1.679173
1,16,1347,21552,14.395534,1.678610
1,16,1393,22288,14.443980,1.677861
1,16,1532,24512,14.581201,1.673665
1,16,1567,25072,14.613789,1.739928
1,16,3936,62976,15.942515,1.849865
1,16,4087,65392,15.996827,1.940211
1,16,4167,66672,16.024793,1.951396
1,16,4879,78064,16.252370,1.955903
1,16,5281,84496,16.366595,1.959770
1,16,6413,102608,16.646784,1.957298
1,16,7203,115248,16.814382,1.962039
1,16,7612,121792,16.894060,2.006361
1,16,9046,144736,17.143064,2.069243
1,16,17040,272640,18.056638,2.445069
1,16,17371,277936,18.084393,2.447573
1,16,22221,355536,18.439636,2.644151
1,16,24311,388976,18.569322,2.700204
1,16,25594,409504,18.643518,2.772921
1,16,27190,435040,18.730789,2.826024
1,16,33635,538160,19.037676,3.078204
1,16,35340,565440,19.109014,3.143450
1,16,42689,683024,19.381577,3.403557
1,16,44560,712960,19.443462,3.484365
1,64,11,704,9.459432,1.612069
1,64,15,960,9.906891,1.612021
1,64,34,2176,11.087463,1.630729
1,64,58,3712,11.857981,1.677295
1,64,60,3840,11.906891,1.629786
1,64,98,6272,12.614710,1.631286
1,64,99,6336,12.629357,1.630995
1,64,174,11136,13.442943,1.677019
1,64,385,24640,14.588715,1.742375
1,64,568,36352,15.149747,1.780489
1,64,580,37120,15.179909,1.779926
1,64,632,40448,15.303781,1.780766
1,64,1028,65792,16.005625,1.960782
1,64,1211,77504,16.241983,1.956733
1,64,1371,87744,16.421013,1.958129
1,64,1665,106560,16.701306,1.960188
1,64,1711,109504,16.740624,1.958531
1,64,1986,127104,16.955650,2.035633
1,64,2314,148096,17.176173,2.112881
1,64,5188,332032,18.340963,2.579986
1,64,6135,392640,18.582848,2.718366
1,64,6254,400256,18.610564,2.755965
