d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.075742
1,1,16,16,4.000000,1.074858
1,1,20,20,4.321928,1.076174
1,1,22,22,4.459432,1.075413
1,1,33,33,5.044394,1.076617
1,1,46,46,5.523562,1.075523
1,1,48,48,5.584963,1.075710
1,1,49,49,5.614710,1.075500
1,1,59,59,5.882643,1.075043
1,1,66,66,6.044394,1.074684
1,1,75,75,6.228819,1.075762
1,1,87,87,6.442943,1.075108
1,1,111,111,6.794416,1.076331
1,1,149,149,7.219169,1.574797
1,1,227,227,7.826548,1.574562
1,1,636,636,9.312883,1.676523
1,1,698,698,9.447083,1.677834
1,1,797,797,9.638436,1.677589
1,1,931,931,9.862637,1.679085
1,1,1006,1006,9.974415,1.677647
1,1,1115,1115,10.122828,1.676527
1,1,1437,1437,10.488844,2.236737
1,1,1446,1446,10.497852,2.235557
1,1,1619,1619,10.660887,2.235192
1,1,1695,1695,10.727070,2.235449
1,1,2434,2434,11.249113,2.236389
1,1,4739,4739,12.210367,1.778866
1,1,10690,10690,13.383974,1.955733
1,1,14019,14019,13.775096,1.955996
1,1,20704,20704,14.337622,2.099581
1,1,21218,21218,14.373001,2.111886
1,1,35734,35734,15.125010,2.403751
1,1,49863,49863,15.605682,2.658558
1,8,10,80,6.321928,1.629553
1,8,16,128,7.000000,1.630202
1,8,19,152,7.247928,1.613953
1,8,27,216,7.754888,1.610523
1,8,28,224,7.807355,1.610939
1,8,36,288,8.169925,1.611749
1,8,39,312,8.285402,1.610851
1,8,42,336,8.392317,1.611001
1,8,71,568,9.149747,1.611572
1,8,81,648,9.339850,1.611726
1,8,85,680,9.409391,1.613782
1,8,90,720,9.491853,1.610731
1,8,116,928,9.857981,1.611013
1,8,126,1008,9.977280,1.610721
1,8,148,1184,10.209453,1.676613
1,8,155,1240,10.276124,1.677153
1,8,165,1320,10.366322,1.677346
1,8,185,1480,10.531381,1.676351
1,8,208,1664,10.700440,1.676409
1,8,250,2000,10.965784,1.676555
1,8,267,2136,11.060696,1.676477
1,8,283,2264,11.144658,1.676575
1,8,300,2400,11.228819,1.676805
1,8,312,2496,11.285402,1.676938
1,8,336,2688,11.392317,1.676435
1,8,490,3920,11.936638,2.235514
1,8,527,4216,12.041659,2.236097
1,8,602,4816,12.233620,2.236185
1,8,705,5640,12.461479,2.236517
1,8,846,6768,12.724514,2.230469
1,8,1235,9880,13.270295,2.280809
1,8,1619,12952,13.660887,2.288848
1,8,2567,20536,14.325868,1.782958
1,8,2582,20656,14.334273,1.781965
1,8,3222,25776,14.653741,1.820792
1,8,3726,29808,14.863412,1.955720
1,8,3811,30488,14.895954,1.953725
1,8,4292,34336,15.067434,1.912439
1,8,7511,60088,15.874789,2.031735
1,8,7749,61992,15.919794,2.030309
1,8,9317,74536,16.185650,2.085339
1,8,10422,83376,16.347345,2.113589
1,8,12212,97696,16.576012,2.217439
1,8,16946,135568,17.048657,2.390146
1,8,30026,240208,17.873925,2.829072
1,8,45294,362352,18.467032,3.353032
1,8,48074,384592,18.552969,3.445387
1,8,48314,386512,18.560154,3.448083
1,16,8,128,7.000000,1.631522
1,16,9,144,7.169925,1.674174
1,16,10,160,7.321928,1.676481
1,16,14,224,7.807355,1.677238
1,16,22,352,8.459432,1.677506
1,16,29,464,8.857981,1.657993
1,16,31,496,8.954196,1.679910
1,16,49,784,9.614710,1.676861
1,16,76,1216,10.247928,1.676270
1,16,112,1792,10.807355,1.677413
1,16,126,2016,10.977280,1.676218
1,16,128,2048,11.000000,1.677251
1,16,159,2544,11.312883,2.235055
1,16,183,2928,11.515700,2.234820
1,16,192,3072,11.584963,2.236139
1,16,219,3504,11.774787,2.225095
1,16,273,4368,12.092757,2.235715
1,16,274,4384,12.098032,2.236168
1,16,298,4768,12.219169,2.236092
1,16,331,5296,12.370687,2.235767
1,16,392,6272,12.614710,2.236317
1,16,693,11088,13.436712,2.281045
1,16,828,13248,13.693487,2.336127
1,16,994,15904,13.957102,1.806381
1,16,1152,18432,14.169925,1.742142
1,16,1347,21552,14.395534,1.778862
1,16,1393,22288,14.443980,1.780587
1,16,1532,24512,14.581201,1.810589
1,16,1567,25072,14.613789,1.810737
1,16,3936,62976,15.942515,2.016175
1,16,4087,65392,15.996827,2.030611
1,16,4167,66672,16.024793,2.023336
1,16,4879,78064,16.252370,2.122485
1,16,5281,84496,16.366595,2.129239
1,16,6413,102608,16.646784,2.238816
1,16,7203,115248,16.814382,2.306365
1,16,7612,121792,16.894060,2.344446
1,16,9046,144736,17.143064,2.410579
1,16,17040,272640,18.056638,2.919065
