d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.079207
1,1,16,16,4.000000,1.079478
1,1,20,20,4.321928,1.079740
1,1,22,22,4.459432,1.079563
1,1,33,33,5.044394,1.079663
1,1,46,46,5.523562,1.079491
1,1,48,48,5.584963,1.079298
1,1,49,49,5.614710,1.079896
1,1,59,59,5.882643,1.079176
1,1,66,66,6.044394,1.077966
1,1,75,75,6.228819,1.079220
1,1,87,87,6.442943,1.079516
1,1,111,111,6.794416,1.079676
1,1,149,149,7.219169,1.086811
1,1,227,227,7.826548,1.086130
1,1,636,636,9.312883,1.676213
1,1,698,698,9.447083,1.675844
1,1,797,797,9.638436,1.736077
1,1,931,931,9.862637,1.738515
1,1,1006,1006,9.974415,1.739954
1,1,1115,1115,10.122828,1.712267
1,1,1437,1437,10.488844,1.778241
1,1,1446,1446,10.497852,1.777981
1,1,1619,1619,10.660887,1.839825
1,1,1695,1695,10.727070,1.841451
1,1,2434,2434,11.249113,1.956155
1,1,4739,4739,12.210367,2.234756
1,1,10690,10690,13.383974,2.933713
1,1,14019,14019,13.775096,3.350764
1,1,20704,20704,14.337622,4.135621
1,1,21218,21218,14.373001,4.208802
1,1,35734,35734,15.125010,5.954757
1,1,49863,49863,15.605682,7.818033
1,8,10,80,6.321928,1.078798
1,8,16,128,7.000000,1.079378
1,8,19,152,7.247928,1.079218
1,8,27,216,7.754888,1.079235
1,8,28,224,7.807355,1.079419
1,8,36,288,8.169925,1.079459
1,8,39,312,8.285402,1.079373
1,8,42,336,8.392317,1.079864
1,8,71,568,9.149747,1.079162
1,8,81,648,9.339850,1.079829
1,8,85,680,9.409391,1.079642
1,8,90,720,9.491853,1.079061
1,8,116,928,9.857981,1.079126
1,8,126,1008,9.977280,1.078720
1,8,148,1184,10.209453,1.677051
1,8,155,1240,10.276124,1.676928
1,8,165,1320,10.366322,1.675902
1,8,185,1480,10.531381,1.676155
1,8,208,1664,10.700440,1.676701
1,8,250,2000,10.965784,1.676177
1,8,267,2136,11.060696,1.677162
1,8,283,2264,11.144658,1.675813
1,8,300,2400,11.228819,1.677323
1,8,312,2496,11.285402,1.675054
1,8,336,2688,11.392317,1.676689
1,8,490,3920,11.936638,1.676105
1,8,527,4216,12.041659,1.684281
1,8,602,4816,12.233620,1.685582
1,8,705,5640,12.461479,1.738456
1,8,846,6768,12.724514,1.740621
1,8,1235,9880,13.270295,1.806031
1,8,1619,12952,13.660887,1.955167
1,8,2567,20536,14.325868,1.973124
1,8,2582,20656,14.334273,1.974828
1,8,3222,25776,14.653741,2.084273
1,8,3726,29808,14.863412,2.164098
1,8,3811,30488,14.895954,2.154845
1,8,4292,34336,15.067434,2.235409
1,8,7511,60088,15.874789,2.610499
1,8,7749,61992,15.919794,2.677768
1,8,9317,74536,16.185650,2.925198
1,8,10422,83376,16.347345,3.043310
1,8,12212,97696,16.576012,3.260625
1,8,16946,135568,17.048657,3.913799
1,8,30026,240208,17.873925,5.473800
1,8,45294,362352,18.467032,7.223124
