d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.043603
1,1,16,16,4.000000,1.043445
1,1,20,20,4.321928,1.043753
1,1,22,22,4.459432,1.043238
1,1,33,33,5.044394,1.044197
1,1,46,46,5.523562,1.043397
1,1,48,48,5.584963,1.044405
1,1,49,49,5.614710,1.044117
1,1,59,59,5.882643,1.043650
1,1,66,66,6.044394,1.044583
1,1,75,75,6.228819,1.043771
1,1,87,87,6.442943,1.044218
1,1,111,111,6.794416,1.044174
1,1,149,149,7.219169,1.035064
1,1,227,227,7.826548,1.035602
1,1,636,636,9.312883,1.564939
1,1,698,698,9.447083,1.568011
1,1,797,797,9.638436,1.629523
1,1,931,931,9.862637,1.630078
1,1,1006,1006,9.974415,1.611294
1,1,1115,1115,10.122828,1.566085
1,1,1437,1437,10.488844,1.574139
1,1,1446,1446,10.497852,1.588953
1,1,1619,1619,10.660887,1.639289
1,1,1695,1695,10.727070,1.611805
1,1,2434,2434,11.249113,1.630501
1,1,4739,4739,12.210367,1.649819
1,1,10690,10690,13.383974,1.677870
1,1,14019,14019,13.775096,1.735735
1,1,20704,20704,14.337622,1.806324
1,1,21218,21218,14.373001,1.807449
1,1,35734,35734,15.125010,1.956783
1,1,49863,49863,15.605682,1.959586
1,8,10,80,6.321928,1.043713
1,8,16,128,7.000000,1.043847
1,8,19,152,7.247928,1.044794
1,8,27,216,7.754888,1.043694
1,8,28,224,7.807355,1.044054
1,8,36,288,8.169925,1.043550
1,8,39,312,8.285402,1.044270
1,8,42,336,8.392317,1.044093
1,8,71,568,9.149747,1.043485
1,8,81,648,9.339850,1.043565
1,8,85,680,9.409391,1.044038
1,8,90,720,9.491853,1.043935
1,8,116,928,9.857981,1.043985
1,8,126,1008,9.977280,1.043167
1,8,148,1184,10.209453,1.619153
1,8,155,1240,10.276124,1.619241
1,8,165,1320,10.366322,1.600999
1,8,185,1480,10.531381,1.601866
1,8,208,1664,10.700440,1.600679
1,8,250,2000,10.965784,1.601963
1,8,267,2136,11.060696,1.565265
1,8,283,2264,11.144658,1.565782
1,8,300,2400,11.228819,1.565715
1,8,312,2496,11.285402,1.565999
1,8,336,2688,11.392317,1.565007
1,8,490,3920,11.936638,1.630275
1,8,527,4216,12.041659,1.630723
1,8,602,4816,12.233620,1.611899
1,8,705,5640,12.461479,1.611799
1,8,846,6768,12.724514,1.630430
1,8,1235,9880,13.270295,1.629969
1,8,1619,12952,13.660887,1.676746
1,8,2567,20536,14.325868,1.677242
1,8,2582,20656,14.334273,1.677471
1,8,3222,25776,14.653741,1.640904
1,8,3726,29808,14.863412,1.679148
1,8,3811,30488,14.895954,1.673229
1,8,4292,34336,15.067434,1.741045
1,8,7511,60088,15.874789,1.738191
1,8,7749,61992,15.919794,1.741454
1,8,9317,74536,16.185650,1.742668
1,8,10422,83376,16.347345,1.754679
1,8,12212,97696,16.576012,1.778622
1,8,16946,135568,17.048657,1.866582
1,8,30026,240208,17.873925,1.989226
1,8,45294,362352,18.467032,2.194043
1,8,48074,384592,18.552969,2.230685
1,8,48314,386512,18.560154,2.230282
1,16,8,128,7.000000,1.043059
1,16,9,144,7.169925,1.611502
1,16,10,160,7.321928,1.601346
1,16,14,224,7.807355,1.607699
1,16,22,352,8.459432,1.612580
1,16,29,464,8.857981,1.611663
1,16,31,496,8.954196,1.600617
1,16,49,784,9.614710,1.600931
1,16,76,1216,10.247928,1.600573
1,16,112,1792,10.807355,1.611475
1,16,126,2016,10.977280,1.611732
1,16,128,2048,11.000000,1.610804
1,16,159,2544,11.312883,1.611311
1,16,183,2928,11.515700,1.611241
1,16,192,3072,11.584963,1.613177
1,16,219,3504,11.774787,1.624507
1,16,273,4368,12.092757,1.599768
1,16,274,4384,12.098032,1.599699
1,16,298,4768,12.219169,1.601287
1,16,331,5296,12.370687,1.601028
1,16,392,6272,12.614710,1.631062
1,16,693,11088,13.436712,1.629243
1,16,828,13248,13.693487,1.677251
1,16,994,15904,13.957102,1.676818
1,16,1152,18432,14.169925,1.677353
1,16,1347,21552,14.395534,1.676920
1,16,1393,22288,14.443980,1.677403
1,16,1532,24512,14.581201,1.675899
1,16,1567,25072,14.613789,1.676497
1,16,3936,62976,15.942515,1.780426
1,16,4087,65392,15.996827,1.781379
1,16,4167,66672,16.024793,1.778586
1,16,4879,78064,16.252370,1.792822
1,16,5281,84496,16.366595,1.808584
1,16,6413,102608,16.646784,1.833737
1,16,7203,115248,16.814382,1.843752
1,16,7612,121792,16.894060,1.956893
1,16,9046,144736,17.143064,1.957992
1,16,17040,272640,18.056638,2.055368
1,16,17371,277936,18.084393,2.066105
1,16,22221,355536,18.439636,2.174760
1,16,24311,388976,18.569322,2.202427
