d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.009861
1,1,16,16,4.000000,1.010093
1,1,20,20,4.321928,1.010003
1,1,22,22,4.459432,1.009457
1,1,33,33,5.044394,1.010433
1,1,46,46,5.523562,1.010396
1,1,48,48,5.584963,1.010033
1,1,49,49,5.614710,1.010097
1,1,59,59,5.882643,1.009927
1,1,66,66,6.044394,1.010530
1,1,75,75,6.228819,1.010041
1,1,87,87,6.442943,1.009560
1,1,111,111,6.794416,1.009941
1,1,149,149,7.219169,1.013088
1,1,227,227,7.826548,1.013643
1,1,636,636,9.312883,1.564903
1,1,698,698,9.447083,1.564815
1,1,797,797,9.638436,1.600221
1,1,931,931,9.862637,1.630362
1,1,1006,1006,9.974415,1.610493
1,1,1115,1115,10.122828,1.571547
1,1,1437,1437,10.488844,1.619491
1,1,1446,1446,10.497852,1.612540
1,1,1619,1619,10.660887,1.676757
1,1,1695,1695,10.727070,2.235185
1,1,2434,2434,11.249113,2.234830
1,1,4739,4739,12.210367,1.678807
1,1,10690,10690,13.383974,1.834061
1,1,14019,14019,13.775096,1.955465
1,1,20704,20704,14.337622,1.966769
1,1,21218,21218,14.373001,1.988385
1,1,35734,35734,15.125010,2.230457
1,1,49863,49863,15.605682,2.444508
1,8,10,80,6.321928,1.564968
1,8,16,128,7.000000,1.564514
1,8,19,152,7.247928,1.564699
1,8,27,216,7.754888,1.565405
1,8,28,224,7.807355,1.564378
1,8,36,288,8.169925,1.564321
1,8,39,312,8.285402,1.564875
1,8,42,336,8.392317,1.565319
1,8,71,568,9.149747,1.564719
1,8,81,648,9.339850,1.564445
1,8,85,680,9.409391,1.565110
1,8,90,720,9.491853,1.564985
1,8,116,928,9.857981,1.564505
1,8,126,1008,9.977280,1.564766
1,8,148,1184,10.209453,1.601060
1,8,155,1240,10.276124,1.600154
1,8,165,1320,10.366322,1.601139
1,8,185,1480,10.531381,1.599197
1,8,208,1664,10.700440,1.594263
1,8,250,2000,10.965784,1.593699
1,8,267,2136,11.060696,1.604589
1,8,283,2264,11.144658,1.597878
1,8,300,2400,11.228819,1.601699
1,8,312,2496,11.285402,1.595942
1,8,336,2688,11.392317,1.594129
1,8,490,3920,11.936638,2.181407
1,8,527,4216,12.041659,2.234157
1,8,602,4816,12.233620,2.234526
1,8,705,5640,12.461479,2.234635
1,8,846,6768,12.724514,1.676823
1,8,1235,9880,13.270295,1.679343
1,8,1619,12952,13.660887,1.717213
1,8,2567,20536,14.325868,1.740934
1,8,2582,20656,14.334273,1.742157
1,8,3222,25776,14.653741,1.782935
1,8,3726,29808,14.863412,1.802890
1,8,3811,30488,14.895954,1.795888
1,8,4292,34336,15.067434,1.821679
1,8,7511,60088,15.874789,1.956126
1,8,7749,61992,15.919794,1.957111
1,8,9317,74536,16.185650,1.961329
1,8,10422,83376,16.347345,2.048731
1,8,12212,97696,16.576012,2.102745
1,8,16946,135568,17.048657,2.284639
1,8,30026,240208,17.873925,2.651269
1,8,45294,362352,18.467032,3.107299
1,8,48074,384592,18.552969,3.178471
1,8,48314,386512,18.560154,3.203339
1,16,8,128,7.000000,1.564919
1,16,9,144,7.169925,1.602574
1,16,10,160,7.321928,1.609667
1,16,14,224,7.807355,1.610924
