d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.043212
1,1,16,16,4.000000,1.044065
1,1,20,20,4.321928,1.043282
1,1,22,22,4.459432,1.043899
1,1,33,33,5.044394,1.043580
1,1,46,46,5.523562,1.044112
1,1,48,48,5.584963,1.043686
1,1,49,49,5.614710,1.043740
1,1,59,59,5.882643,1.044429
1,1,66,66,6.044394,1.043741
1,1,75,75,6.228819,1.044321
1,1,87,87,6.442943,1.044173
1,1,111,111,6.794416,1.044142
1,1,149,149,7.219169,1.043987
1,1,227,227,7.826548,1.044681
1,1,636,636,9.312883,1.576206
1,1,698,698,9.447083,1.611814
1,1,797,797,9.638436,1.630626
1,1,931,931,9.862637,1.630715
1,1,1006,1006,9.974415,1.630511
1,1,1115,1115,10.122828,1.577851
1,1,1437,1437,10.488844,1.600880
1,1,1446,1446,10.497852,1.600521
1,1,1619,1619,10.660887,1.661858
1,1,1695,1695,10.727070,1.630614
1,1,2434,2434,11.249113,1.677652
1,1,4739,4739,12.210367,1.678103
1,1,10690,10690,13.383974,1.782087
1,1,14019,14019,13.775096,1.809227
1,1,20704,20704,14.337622,1.956261
1,1,21218,21218,14.373001,1.956331
1,1,35734,35734,15.125010,2.134564
1,1,49863,49863,15.605682,2.298299
1,8,10,80,6.321928,1.043821
1,8,16,128,7.000000,1.044026
1,8,19,152,7.247928,1.043657
1,8,27,216,7.754888,1.043710
1,8,28,224,7.807355,1.044733
1,8,36,288,8.169925,1.044124
1,8,39,312,8.285402,1.045074
1,8,42,336,8.392317,1.045074
1,8,71,568,9.149747,1.044020
1,8,81,648,9.339850,1.043447
1,8,85,680,9.409391,1.044047
1,8,90,720,9.491853,1.044031
1,8,116,928,9.857981,1.044670
1,8,126,1008,9.977280,1.044890
1,8,148,1184,10.209453,1.630817
1,8,155,1240,10.276124,1.630523
1,8,165,1320,10.366322,1.629831
1,8,185,1480,10.531381,1.630886
1,8,208,1664,10.700440,1.631885
1,8,250,2000,10.965784,1.630738
1,8,267,2136,11.060696,1.602195
1,8,283,2264,11.144658,1.586242
1,8,300,2400,11.228819,1.582654
1,8,312,2496,11.285402,1.582172
1,8,336,2688,11.392317,1.582598
1,8,490,3920,11.936638,1.631111
1,8,527,4216,12.041659,1.631152
1,8,602,4816,12.233620,1.629997
1,8,705,5640,12.461479,1.603766
1,8,846,6768,12.724514,1.630078
1,8,1235,9880,13.270295,1.676689
1,8,1619,12952,13.660887,1.676606
1,8,2567,20536,14.325868,1.677884
1,8,2582,20656,14.334273,1.677835
1,8,3222,25776,14.653741,1.740332
1,8,3726,29808,14.863412,1.740505
1,8,3811,30488,14.895954,1.740197
1,8,4292,34336,15.067434,1.742283
1,8,7511,60088,15.874789,1.865222
1,8,7749,61992,15.919794,1.958735
1,8,9317,74536,16.185650,1.957397
1,8,10422,83376,16.347345,1.957557
1,8,12212,97696,16.576012,1.961648
1,8,16946,135568,17.048657,2.067059
1,8,30026,240208,17.873925,2.354854
1,8,45294,362352,18.467032,2.672742
1,8,48074,384592,18.552969,2.731731
1,8,48314,386512,18.560154,2.719947
1,16,8,128,7.000000,1.043781
1,16,9,144,7.169925,1.631149
1,16,10,160,7.321928,1.631370
1,16,14,224,7.807355,1.630810
1,16,22,352,8.459432,1.630647
1,16,29,464,8.857981,1.630097
1,16,31,496,8.954196,1.630847
1,16,49,784,9.614710,1.630656
1,16,76,1216,10.247928,1.630735
1,16,112,1792,10.807355,1.630941
1,16,126,2016,10.977280,1.631413
1,16,128,2048,11.000000,1.629373
1,16,159,2544,11.312883,1.630319
1,16,183,2928,11.515700,1.630974
1,16,192,3072,11.584963,1.630247
1,16,219,3504,11.774787,1.630341
1,16,273,4368,12.092757,1.630339
1,16,274,4384,12.098032,1.630061
1,16,298,4768,12.219169,1.634822
1,16,331,5296,12.370687,1.612455
1,16,392,6272,12.614710,1.633001
1,16,693,11088,13.436712,1.677246
1,16,828,13248,13.693487,1.677874
1,16,994,15904,13.957102,1.676302
1,16,1152,18432,14.169925,1.724581
1,16,1347,21552,14.395534,1.742361
1,16,1393,22288,14.443980,1.742023
1,16,1532,24512,14.581201,1.731667
1,16,1567,25072,14.613789,1.689770
1,16,3936,62976,15.942515,1.956187
1,16,4087,65392,15.996827,1.959402
1,16,4167,66672,16.024793,1.956440
1,16,4879,78064,16.252370,1.957188
1,16,5281,84496,16.366595,1.952990
1,16,6413,102608,16.646784,1.957042
1,16,7203,115248,16.814382,1.986570
1,16,7612,121792,16.894060,2.015660
1,16,9046,144736,17.143064,2.100923
1,16,17040,272640,18.056638,2.428204
1,16,17371,277936,18.084393,2.442351
1,16,22221,355536,18.439636,2.605345
1,16,24311,388976,18.569322,2.695413
1,16,25594,409504,18.643518,2.739513
1,16,27190,435040,18.730789,2.800944
1,16,33635,538160,19.037676,3.044477
1,16,35340,565440,19.109014,3.151486
1,16,42689,683024,19.381577,3.464150
1,16,44560,712960,19.443462,3.548241
1,64,11,704,9.459432,1.630254
1,64,15,960,9.906891,1.630563
1,64,34,2176,11.087463,1.631313
1,64,58,3712,11.857981,1.636486
1,64,60,3840,11.906891,1.637795
1,64,98,6272,12.614710,1.639586
1,64,99,6336,12.629357,1.639115
1,64,174,11136,13.442943,1.677115
1,64,385,24640,14.588715,1.741524
1,64,568,36352,15.149747,1.779126
1,64,580,37120,15.179909,1.779145
1,64,632,40448,15.303781,1.780590
1,64,1028,65792,16.005625,1.958212
1,64,1211,77504,16.241983,1.957128
1,64,1371,87744,16.421013,1.959938
1,64,1665,106560,16.701306,2.007014
1,64,1711,109504,16.740624,2.005220
1,64,1986,127104,16.955650,2.067574
1,64,2314,148096,17.176173,2.137397
1,64,5188,332032,18.340963,2.587836
1,64,6135,392640,18.582848,2.701095
1,64,6254,400256,18.610564,2.734776
1,64,8624,551936,19.074141,3.104861
1,64,10045,642880,19.294190,3.364206
1,64,10279,657856,19.327412,3.396992
1,64,10432,667648,19.348728,3.405785
1,64,11325,724800,19.467223,3.563284
1,64,14864,951296,19.859535,4.105457
1,64,16044,1026816,19.969746,4.286484
1,64,16421,1050944,20.003254,4.341598
1,64,17085,1093440,20.060443,4.455845
1,64,19234,1230976,20.231371,4.778219
1,64,24209,1549376,20.563256,5.567831
1,64,29478,1886592,20.847351,6.409635
1,64,30422,1947008,20.892827,6.538833
1,64,31062,1987968,20.922863,6.649361
1,64,35567,2276288,21.118252,7.370616
