IO buffer OPT target,Weight buffer OPT target,Weight buffer Tech,IO Area (mm^2),Weight Area (mm^2),Systolic Array Area (mm^2)
Area,Area,HZO3,1.944,0.807463197,1.23904
Area,Area,HZO5,1.944,0.807463197,1.23904
Area,Area,SRAM-Best,1.944,3.874,1.23904
Area,ReadDynamicEnergy,HZO3,1.944,0.80947804,1.23904
Area,ReadDynamicEnergy,HZO5,1.944,0.80947804,1.23904
Area,ReadDynamicEnergy,SRAM-Best,1.944,4.098,1.23904
Area,ReadEDP,HZO3,1.944,0.982724629,1.23904
Area,ReadEDP,HZO5,1.944,0.982724629,1.23904
Area,ReadEDP,SRAM-Best,1.944,4.324,1.23904
Area,ReadLatency,HZO3,1.944,1.146,1.23904
Area,ReadLatency,HZO5,1.944,1.146,1.23904
Area,ReadLatency,SRAM-Best,1.944,4.112,1.23904
Area,WriteDynamicEnergy,HZO3,1.944,2.187,1.23904
Area,WriteDynamicEnergy,HZO5,1.944,2.187,1.23904
Area,WriteDynamicEnergy,SRAM-Best,1.944,4.229,1.23904
Area,WriteEDP,HZO3,1.944,1.348,1.23904
Area,WriteEDP,HZO5,1.944,1.348,1.23904
Area,WriteEDP,SRAM-Best,1.944,4.456,1.23904
Area,WriteLatency,HZO3,1.944,1.523,1.23904
Area,WriteLatency,HZO5,1.944,1.523,1.23904
Area,WriteLatency,SRAM-Best,1.944,4.112,1.23904
ReadDynamicEnergy,Area,HZO3,2.109,0.807463197,1.23904
ReadDynamicEnergy,Area,HZO5,2.109,0.807463197,1.23904
ReadDynamicEnergy,Area,SRAM-Best,2.109,3.874,1.23904
ReadDynamicEnergy,ReadDynamicEnergy,HZO3,2.109,0.80947804,1.23904
ReadDynamicEnergy,ReadDynamicEnergy,HZO5,2.109,0.80947804,1.23904
ReadDynamicEnergy,ReadDynamicEnergy,SRAM-Best,2.109,4.098,1.23904
ReadDynamicEnergy,ReadEDP,HZO3,2.109,0.982724629,1.23904
ReadDynamicEnergy,ReadEDP,HZO5,2.109,0.982724629,1.23904
ReadDynamicEnergy,ReadEDP,SRAM-Best,2.109,4.324,1.23904
ReadDynamicEnergy,ReadLatency,HZO3,2.109,1.146,1.23904
ReadDynamicEnergy,ReadLatency,HZO5,2.109,1.146,1.23904
ReadDynamicEnergy,ReadLatency,SRAM-Best,2.109,4.112,1.23904
ReadDynamicEnergy,WriteDynamicEnergy,HZO3,2.109,2.187,1.23904
ReadDynamicEnergy,WriteDynamicEnergy,HZO5,2.109,2.187,1.23904
ReadDynamicEnergy,WriteDynamicEnergy,SRAM-Best,2.109,4.229,1.23904
ReadDynamicEnergy,WriteEDP,HZO3,2.109,1.348,1.23904
ReadDynamicEnergy,WriteEDP,HZO5,2.109,1.348,1.23904
ReadDynamicEnergy,WriteEDP,SRAM-Best,2.109,4.456,1.23904
ReadDynamicEnergy,WriteLatency,HZO3,2.109,1.523,1.23904
ReadDynamicEnergy,WriteLatency,HZO5,2.109,1.523,1.23904
ReadDynamicEnergy,WriteLatency,SRAM-Best,2.109,4.112,1.23904
ReadEDP,Area,HZO3,2.109,0.807463197,1.23904
ReadEDP,Area,HZO5,2.109,0.807463197,1.23904
ReadEDP,Area,SRAM-Best,2.109,3.874,1.23904
ReadEDP,ReadDynamicEnergy,HZO3,2.109,0.80947804,1.23904
ReadEDP,ReadDynamicEnergy,HZO5,2.109,0.80947804,1.23904
ReadEDP,ReadDynamicEnergy,SRAM-Best,2.109,4.098,1.23904
ReadEDP,ReadEDP,HZO3,2.109,0.982724629,1.23904
ReadEDP,ReadEDP,HZO5,2.109,0.982724629,1.23904
ReadEDP,ReadEDP,SRAM-Best,2.109,4.324,1.23904
ReadEDP,ReadLatency,HZO3,2.109,1.146,1.23904
ReadEDP,ReadLatency,HZO5,2.109,1.146,1.23904
ReadEDP,ReadLatency,SRAM-Best,2.109,4.112,1.23904
ReadEDP,WriteDynamicEnergy,HZO3,2.109,2.187,1.23904
ReadEDP,WriteDynamicEnergy,HZO5,2.109,2.187,1.23904
ReadEDP,WriteDynamicEnergy,SRAM-Best,2.109,4.229,1.23904
ReadEDP,WriteEDP,HZO3,2.109,1.348,1.23904
ReadEDP,WriteEDP,HZO5,2.109,1.348,1.23904
ReadEDP,WriteEDP,SRAM-Best,2.109,4.456,1.23904
ReadEDP,WriteLatency,HZO3,2.109,1.523,1.23904
ReadEDP,WriteLatency,HZO5,2.109,1.523,1.23904
ReadEDP,WriteLatency,SRAM-Best,2.109,4.112,1.23904
ReadLatency,Area,HZO3,2.083,0.807463197,1.23904
ReadLatency,Area,HZO5,2.083,0.807463197,1.23904
ReadLatency,Area,SRAM-Best,2.083,3.874,1.23904
ReadLatency,ReadDynamicEnergy,HZO3,2.083,0.80947804,1.23904
ReadLatency,ReadDynamicEnergy,HZO5,2.083,0.80947804,1.23904
ReadLatency,ReadDynamicEnergy,SRAM-Best,2.083,4.098,1.23904
ReadLatency,ReadEDP,HZO3,2.083,0.982724629,1.23904
ReadLatency,ReadEDP,HZO5,2.083,0.982724629,1.23904
ReadLatency,ReadEDP,SRAM-Best,2.083,4.324,1.23904
ReadLatency,ReadLatency,HZO3,2.083,1.146,1.23904
ReadLatency,ReadLatency,HZO5,2.083,1.146,1.23904
ReadLatency,ReadLatency,SRAM-Best,2.083,4.112,1.23904
ReadLatency,WriteDynamicEnergy,HZO3,2.083,2.187,1.23904
ReadLatency,WriteDynamicEnergy,HZO5,2.083,2.187,1.23904
ReadLatency,WriteDynamicEnergy,SRAM-Best,2.083,4.229,1.23904
ReadLatency,WriteEDP,HZO3,2.083,1.348,1.23904
ReadLatency,WriteEDP,HZO5,2.083,1.348,1.23904
ReadLatency,WriteEDP,SRAM-Best,2.083,4.456,1.23904
ReadLatency,WriteLatency,HZO3,2.083,1.523,1.23904
ReadLatency,WriteLatency,HZO5,2.083,1.523,1.23904
ReadLatency,WriteLatency,SRAM-Best,2.083,4.112,1.23904
WriteDynamicEnergy,Area,HZO3,2.114,0.807463197,1.23904
WriteDynamicEnergy,Area,HZO5,2.114,0.807463197,1.23904
WriteDynamicEnergy,Area,SRAM-Best,2.114,3.874,1.23904
WriteDynamicEnergy,ReadDynamicEnergy,HZO3,2.114,0.80947804,1.23904
WriteDynamicEnergy,ReadDynamicEnergy,HZO5,2.114,0.80947804,1.23904
WriteDynamicEnergy,ReadDynamicEnergy,SRAM-Best,2.114,4.098,1.23904
WriteDynamicEnergy,ReadEDP,HZO3,2.114,0.982724629,1.23904
WriteDynamicEnergy,ReadEDP,HZO5,2.114,0.982724629,1.23904
WriteDynamicEnergy,ReadEDP,SRAM-Best,2.114,4.324,1.23904
WriteDynamicEnergy,ReadLatency,HZO3,2.114,1.146,1.23904
WriteDynamicEnergy,ReadLatency,HZO5,2.114,1.146,1.23904
