IO buffer OPT target,Weight buffer OPT target,Weight buffer Tech,IO Area (mm^2),Weight Area (mm^2),Systolic Array Area (mm^2),weight buffer carbon (g),io buffer carbon (g),systolic array carbon (g),total carbon (g)
Area,Area,HZO3,1.944,0.807463197,1.23904,11.788438,25.831872,16.464364,54.084673
Area,Area,HZO5,1.944,0.807463197,1.23904,11.915249,25.831872,16.464364,54.211485
Area,Area,SRAM-Best,1.944,3.874,1.23904,51.477712,25.831872,16.464364,93.773948
Area,ReadDynamicEnergy,HZO3,1.944,0.80947804,1.23904,11.815214,25.831872,16.464364,54.111449
Area,ReadDynamicEnergy,HZO5,1.944,0.80947804,1.23904,11.942026,25.831872,16.464364,54.238261
Area,ReadDynamicEnergy,SRAM-Best,1.944,4.098,1.23904,54.454224,25.831872,16.464364,96.75046
Area,ReadEDP,HZO3,1.944,0.982724629,1.23904,14.117309,25.831872,16.464364,56.413545
Area,ReadEDP,HZO5,1.944,0.982724629,1.23904,14.244121,25.831872,16.464364,56.540356
Area,ReadEDP,SRAM-Best,1.944,4.324,1.23904,57.457312,25.831872,16.464364,99.753548
Area,ReadLatency,HZO3,1.944,1.146,1.23904,16.287292,25.831872,16.464364,58.583527
Area,ReadLatency,HZO5,1.944,1.146,1.23904,16.414148,25.831872,16.464364,58.710384
Area,ReadLatency,SRAM-Best,1.944,4.112,1.23904,54.640256,25.831872,16.464364,96.936492
Area,WriteDynamicEnergy,HZO3,1.944,2.187,1.23904,30.119814,25.831872,16.464364,72.416049
Area,WriteDynamicEnergy,HZO5,1.944,2.187,1.23904,30.246636,25.831872,16.464364,72.542872
Area,WriteDynamicEnergy,SRAM-Best,1.944,4.229,1.23904,56.194952,25.831872,16.464364,98.491188
Area,WriteEDP,HZO3,1.944,1.348,1.23904,18.971183,25.831872,16.464364,61.267419
Area,WriteEDP,HZO5,1.944,1.348,1.23904,19.098006,25.831872,16.464364,61.394242
Area,WriteEDP,SRAM-Best,1.944,4.456,1.23904,59.211328,25.831872,16.464364,101.507564
Area,WriteLatency,HZO3,1.944,1.523,1.23904,21.296743,25.831872,16.464364,63.592978
Area,WriteLatency,HZO5,1.944,1.523,1.23904,21.423584,25.831872,16.464364,63.71982
Area,WriteLatency,SRAM-Best,1.944,4.112,1.23904,54.640256,25.831872,16.464364,96.936492
ReadDynamicEnergy,Area,HZO3,2.109,0.807463197,1.23904,11.788438,28.024392,16.464364,56.277193
ReadDynamicEnergy,Area,HZO5,2.109,0.807463197,1.23904,11.915249,28.024392,16.464364,56.404005
ReadDynamicEnergy,Area,SRAM-Best,2.109,3.874,1.23904,51.477712,28.024392,16.464364,95.966468
ReadDynamicEnergy,ReadDynamicEnergy,HZO3,2.109,0.80947804,1.23904,11.815214,28.024392,16.464364,56.303969
