IO buffer OPT target,weight buffer opt target,weight buffer tech,total area (mm^2),total_carbon_g
Area,Area,HZO3,3.990503197,54.084672
Area,Area,HZO5,3.990503197,54.211484
Area,Area,SRAM-Best,7.05704,93.773948
Area,ReadDynamicEnergy,HZO3,3.99251804,53.05258
Area,ReadDynamicEnergy,HZO5,3.99251804,53.05258
Area,ReadDynamicEnergy,SRAM-Best,7.28104,96.75046
Area,ReadEDP,HZO3,4.165764629,56.413544
Area,ReadEDP,HZO5,4.165764629,56.540355
Area,ReadEDP,SRAM-Best,7.50704,99.753548
Area,ReadLatency,HZO3,4.32904,58.583527
Area,ReadLatency,HZO5,4.32904,58.710385
Area,ReadLatency,SRAM-Best,7.29504,96.936492
Area,WriteDynamicEnergy,HZO3,5.37004,71.357092
Area,WriteDynamicEnergy,HZO5,5.37004,71.357092
Area,WriteDynamicEnergy,SRAM-Best,7.41204,98.491188
Area,WriteEDP,HZO3,4.53104,61.267419
Area,WriteEDP,HZO5,4.53104,61.394242
Area,WriteEDP,SRAM-Best,7.63904,101.507564
Area,WriteLatency,HZO3,4.70604,63.592979
Area,WriteLatency,HZO5,4.70604,63.71982
Area,WriteLatency,SRAM-Best,7.29504,96.936492
ReadDynamicEnergy,Area,HZO3,4.155503197,56.277192
ReadDynamicEnergy,Area,HZO5,4.155503197,56.404004
ReadDynamicEnergy,Area,SRAM-Best,7.222040000000001,95.966468
ReadDynamicEnergy,ReadDynamicEnergy,HZO3,4.15751804,55.2451
ReadDynamicEnergy,ReadDynamicEnergy,HZO5,4.15751804,55.2451
ReadDynamicEnergy,ReadDynamicEnergy,SRAM-Best,7.44604,98.94298
ReadDynamicEnergy,ReadEDP,HZO3,4.330764629,58.606064
ReadDynamicEnergy,ReadEDP,HZO5,4.330764629,58.732875
ReadDynamicEnergy,ReadEDP,SRAM-Best,7.67204,101.946068
ReadDynamicEnergy,ReadLatency,HZO3,4.49404,60.776047
ReadDynamicEnergy,ReadLatency,HZO5,4.49404,60.902905
ReadDynamicEnergy,ReadLatency,SRAM-Best,7.46004,99.129012
ReadDynamicEnergy,WriteDynamicEnergy,HZO3,5.53504,73.549612
ReadDynamicEnergy,WriteDynamicEnergy,HZO5,5.53504,73.549612
ReadDynamicEnergy,WriteDynamicEnergy,SRAM-Best,7.57704,100.683708
ReadDynamicEnergy,WriteEDP,HZO3,4.69604,63.459939
ReadDynamicEnergy,WriteEDP,HZO5,4.69604,63.586762
ReadDynamicEnergy,WriteEDP,SRAM-Best,7.80404,103.700084
ReadDynamicEnergy,WriteLatency,HZO3,4.87104,65.785499
ReadDynamicEnergy,WriteLatency,HZO5,4.87104,65.91234
ReadDynamicEnergy,WriteLatency,SRAM-Best,7.46004,99.129012
ReadEDP,Area,HZO3,4.155503197,56.277192
ReadEDP,Area,HZO5,4.155503197,56.404004
ReadEDP,Area,SRAM-Best,7.222040000000001,95.966468
ReadEDP,ReadDynamicEnergy,HZO3,4.15751804,55.2451
ReadEDP,ReadDynamicEnergy,HZO5,4.15751804,55.2451
ReadEDP,ReadDynamicEnergy,SRAM-Best,7.44604,98.94298
ReadEDP,ReadEDP,HZO3,4.330764629,58.606064
ReadEDP,ReadEDP,HZO5,4.330764629,58.732875
ReadEDP,ReadEDP,SRAM-Best,7.67204,101.946068
ReadEDP,ReadLatency,HZO3,4.49404,60.776047
ReadEDP,ReadLatency,HZO5,4.49404,60.902905
ReadEDP,ReadLatency,SRAM-Best,7.46004,99.129012
ReadEDP,WriteDynamicEnergy,HZO3,5.53504,73.549612
ReadEDP,WriteDynamicEnergy,HZO5,5.53504,73.549612
ReadEDP,WriteDynamicEnergy,SRAM-Best,7.57704,100.683708
ReadEDP,WriteEDP,HZO3,4.69604,63.459939
ReadEDP,WriteEDP,HZO5,4.69604,63.586762
ReadEDP,WriteEDP,SRAM-Best,7.80404,103.700084
ReadEDP,WriteLatency,HZO3,4.87104,65.785499
ReadEDP,WriteLatency,HZO5,4.87104,65.91234
ReadEDP,WriteLatency,SRAM-Best,7.46004,99.129012
ReadLatency,Area,HZO3,4.129503197,55.931704
ReadLatency,Area,HZO5,4.129503197,56.058516
ReadLatency,Area,SRAM-Best,7.196040000000001,95.62098
ReadLatency,ReadDynamicEnergy,HZO3,4.13151804,54.899612
ReadLatency,ReadDynamicEnergy,HZO5,4.13151804,54.899612
ReadLatency,ReadDynamicEnergy,SRAM-Best,7.42004,98.597492
ReadLatency,ReadEDP,HZO3,4.304764629,58.260576
ReadLatency,ReadEDP,HZO5,4.304764629,58.387387
ReadLatency,ReadEDP,SRAM-Best,7.64604,101.60058
ReadLatency,ReadLatency,HZO3,4.46804,60.430559
ReadLatency,ReadLatency,HZO5,4.46804,60.557417
ReadLatency,ReadLatency,SRAM-Best,7.43404,98.783524
ReadLatency,WriteDynamicEnergy,HZO3,5.50904,73.204124
ReadLatency,WriteDynamicEnergy,HZO5,5.50904,73.204124
ReadLatency,WriteDynamicEnergy,SRAM-Best,7.55104,100.33822
ReadLatency,WriteEDP,HZO3,4.67004,63.114451
ReadLatency,WriteEDP,HZO5,4.67004,63.241274
ReadLatency,WriteEDP,SRAM-Best,7.778040000000001,103.354596
ReadLatency,WriteLatency,HZO3,4.84504,65.440011
ReadLatency,WriteLatency,HZO5,4.84504,65.566852
ReadLatency,WriteLatency,SRAM-Best,7.43404,98.783524
WriteDynamicEnergy,Area,HZO3,4.160503197,56.343632
WriteDynamicEnergy,Area,HZO5,4.160503197,56.470444
WriteDynamicEnergy,Area,SRAM-Best,7.22704,96.032908
WriteDynamicEnergy,ReadDynamicEnergy,HZO3,4.16251804,55.31154
WriteDynamicEnergy,ReadDynamicEnergy,HZO5,4.16251804,55.31154
WriteDynamicEnergy,ReadDynamicEnergy,SRAM-Best,7.45104,99.00942
WriteDynamicEnergy,ReadEDP,HZO3,4.335764629,58.672504
WriteDynamicEnergy,ReadEDP,HZO5,4.335764629,58.799315
WriteDynamicEnergy,ReadEDP,SRAM-Best,7.67704,102.012508
WriteDynamicEnergy,ReadLatency,HZO3,4.49904,60.842487
