IO OPT target,Weight OPT target,Weight Tech,Total Energy per Inference (mJ)
Area,Area,HZO3,8207.515638751325
Area,Area,HZO5,8207.515638751325
Area,Area,SRAM-Best,8974.92667709519
Area,ReadDynamicEnergy,HZO3,8189.349897598349
Area,ReadDynamicEnergy,HZO5,8189.349897598349
Area,ReadDynamicEnergy,SRAM-Best,8200.578041502724
Area,ReadEDP,HZO3,8269.752500679964
Area,ReadEDP,HZO5,8269.752500679964
Area,ReadEDP,SRAM-Best,8201.20451846805
Area,ReadLatency,HZO3,8296.253394355666
Area,ReadLatency,HZO5,8296.253394355666
Area,ReadLatency,SRAM-Best,8676.628293927064
Area,WriteDynamicEnergy,HZO3,8288.67097436681
Area,WriteDynamicEnergy,HZO5,8288.67097436681
Area,WriteDynamicEnergy,SRAM-Best,8235.416208253628
Area,WriteEDP,HZO3,8241.880960737413
Area,WriteEDP,HZO5,8241.880960737413
Area,WriteEDP,SRAM-Best,8225.549265314268
Area,WriteLatency,HZO3,8343.893749508967
Area,WriteLatency,HZO5,8343.893749508967
Area,WriteLatency,SRAM-Best,8676.628293927064
ReadDynamicEnergy,Area,HZO3,528.6393827303052
ReadDynamicEnergy,Area,HZO5,528.6393827303052
ReadDynamicEnergy,Area,SRAM-Best,1296.0504210741715
ReadDynamicEnergy,ReadDynamicEnergy,HZO3,510.4736415773298
ReadDynamicEnergy,ReadDynamicEnergy,HZO5,510.4736415773298
ReadDynamicEnergy,ReadDynamicEnergy,SRAM-Best,521.7017854817054
ReadDynamicEnergy,ReadEDP,HZO3,590.8762446589443
ReadDynamicEnergy,ReadEDP,HZO5,590.8762446589443
ReadDynamicEnergy,ReadEDP,SRAM-Best,522.3282624470309
ReadDynamicEnergy,ReadLatency,HZO3,617.3771383346475
ReadDynamicEnergy,ReadLatency,HZO5,617.3771383346475
ReadDynamicEnergy,ReadLatency,SRAM-Best,997.7520379060452
ReadDynamicEnergy,WriteDynamicEnergy,HZO3,609.794718345792
ReadDynamicEnergy,WriteDynamicEnergy,HZO5,609.794718345792
ReadDynamicEnergy,WriteDynamicEnergy,SRAM-Best,556.5399522326092
ReadDynamicEnergy,WriteEDP,HZO3,563.0047047163941
ReadDynamicEnergy,WriteEDP,HZO5,563.0047047163941
ReadDynamicEnergy,WriteEDP,SRAM-Best,546.6730092932497
ReadDynamicEnergy,WriteLatency,HZO3,665.0174934879474
ReadDynamicEnergy,WriteLatency,HZO5,665.0174934879474
ReadDynamicEnergy,WriteLatency,SRAM-Best,997.7520379060452
ReadEDP,Area,HZO3,528.6393827303052
ReadEDP,Area,HZO5,528.6393827303052
ReadEDP,Area,SRAM-Best,1296.0504210741715
ReadEDP,ReadDynamicEnergy,HZO3,510.4736415773298
ReadEDP,ReadDynamicEnergy,HZO5,510.4736415773298
ReadEDP,ReadDynamicEnergy,SRAM-Best,521.7017854817054
ReadEDP,ReadEDP,HZO3,590.8762446589443
ReadEDP,ReadEDP,HZO5,590.8762446589443
ReadEDP,ReadEDP,SRAM-Best,522.3282624470309
ReadEDP,ReadLatency,HZO3,617.3771383346475
ReadEDP,ReadLatency,HZO5,617.3771383346475
ReadEDP,ReadLatency,SRAM-Best,997.7520379060452
ReadEDP,WriteDynamicEnergy,HZO3,609.794718345792
ReadEDP,WriteDynamicEnergy,HZO5,609.794718345792
ReadEDP,WriteDynamicEnergy,SRAM-Best,556.5399522326092
ReadEDP,WriteEDP,HZO3,563.0047047163941
ReadEDP,WriteEDP,HZO5,563.0047047163941
ReadEDP,WriteEDP,SRAM-Best,546.6730092932497
ReadEDP,WriteLatency,HZO3,665.0174934879474
ReadEDP,WriteLatency,HZO5,665.0174934879474
ReadEDP,WriteLatency,SRAM-Best,997.7520379060452
ReadLatency,Area,HZO3,2680.435370579861
ReadLatency,Area,HZO5,2680.435370579861
ReadLatency,Area,SRAM-Best,3447.8464089237273
ReadLatency,ReadDynamicEnergy,HZO3,2662.2696294268853
ReadLatency,ReadDynamicEnergy,HZO5,2662.2696294268853
ReadLatency,ReadDynamicEnergy,SRAM-Best,2673.4977733312608
ReadLatency,ReadEDP,HZO3,2742.6722325084997
ReadLatency,ReadEDP,HZO5,2742.6722325084997
ReadLatency,ReadEDP,SRAM-Best,2674.1242502965865
ReadLatency,ReadLatency,HZO3,2769.173126184203
ReadLatency,ReadLatency,HZO5,2769.173126184203
ReadLatency,ReadLatency,SRAM-Best,3149.5480257556005
ReadLatency,WriteDynamicEnergy,HZO3,2761.5907061953476
ReadLatency,WriteDynamicEnergy,HZO5,2761.5907061953476
ReadLatency,WriteDynamicEnergy,SRAM-Best,2708.3359400821646
ReadLatency,WriteEDP,HZO3,2714.8006925659497
ReadLatency,WriteEDP,HZO5,2714.8006925659497
ReadLatency,WriteEDP,SRAM-Best,2698.468997142805
ReadLatency,WriteLatency,HZO3,2816.813481337503
ReadLatency,WriteLatency,HZO5,2816.813481337503
ReadLatency,WriteLatency,SRAM-Best,3149.5480257556005
WriteDynamicEnergy,Area,HZO3,365.078253260162
WriteDynamicEnergy,Area,HZO5,365.078253260162
WriteDynamicEnergy,Area,SRAM-Best,1132.4892916040285
WriteDynamicEnergy,ReadDynamicEnergy,HZO3,346.91251210718656
WriteDynamicEnergy,ReadDynamicEnergy,HZO5,346.91251210718656
WriteDynamicEnergy,ReadDynamicEnergy,SRAM-Best,358.1406560115622
WriteDynamicEnergy,ReadEDP,HZO3,427.3151151888011
WriteDynamicEnergy,ReadEDP,HZO5,427.3151151888011
WriteDynamicEnergy,ReadEDP,SRAM-Best,358.76713297688764
WriteDynamicEnergy,ReadLatency,HZO3,453.8160088645042
WriteDynamicEnergy,ReadLatency,HZO5,453.8160088645042
WriteDynamicEnergy,ReadLatency,SRAM-Best,834.190908435902
WriteDynamicEnergy,WriteDynamicEnergy,HZO3,446.2335888756489
WriteDynamicEnergy,WriteDynamicEnergy,HZO5,446.2335888756489
WriteDynamicEnergy,WriteDynamicEnergy,SRAM-Best,392.97882276246594
WriteDynamicEnergy,WriteEDP,HZO3,399.443575246251
WriteDynamicEnergy,WriteEDP,HZO5,399.443575246251
WriteDynamicEnergy,WriteEDP,SRAM-Best,383.11187982310645
WriteDynamicEnergy,WriteLatency,HZO3,501.4563640178042
WriteDynamicEnergy,WriteLatency,HZO5,501.4563640178042
WriteDynamicEnergy,WriteLatency,SRAM-Best,834.190908435902
WriteEDP,Area,HZO3,315.2378464178798
WriteEDP,Area,HZO5,315.2378464178798
WriteEDP,Area,SRAM-Best,1082.648884761746
WriteEDP,ReadDynamicEnergy,HZO3,297.07210526490434
WriteEDP,ReadDynamicEnergy,HZO5,297.07210526490434
WriteEDP,ReadDynamicEnergy,SRAM-Best,308.30024916928
WriteEDP,ReadEDP,HZO3,377.4747083465188
WriteEDP,ReadEDP,HZO5,377.4747083465188
WriteEDP,ReadEDP,SRAM-Best,308.9267261346054
WriteEDP,ReadLatency,HZO3,403.975602022222
WriteEDP,ReadLatency,HZO5,403.975602022222
WriteEDP,ReadLatency,SRAM-Best,784.3505015936197
WriteEDP,WriteDynamicEnergy,HZO3,396.39318203336666
WriteEDP,WriteDynamicEnergy,HZO5,396.39318203336666
WriteEDP,WriteDynamicEnergy,SRAM-Best,343.1384159201837
WriteEDP,WriteEDP,HZO3,349.60316840396877
WriteEDP,WriteEDP,HZO5,349.60316840396877
WriteEDP,WriteEDP,SRAM-Best,333.2714729808242
WriteEDP,WriteLatency,HZO3,451.615957175522
WriteEDP,WriteLatency,HZO5,451.615957175522
WriteEDP,WriteLatency,SRAM-Best,784.3505015936197
WriteLatency,Area,HZO3,2680.435370579861
WriteLatency,Area,HZO5,2680.435370579861
