Benchmark Name,MemoryCellInputFile,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Area (mm^2),Area Efficiency (percent),Total Power,Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Capacity (MB),CellArea (F^2),Source,ReadEDP (mJ·ms),WriteEDP (mJ·ms),Total memory latency (ms),Read Energy per access (pJ),Write Energy per access (pJ),Read  Static Energy per access (pJ),Write Static Energy per access (pJ),WriteEDP per access (nJ·ns),ReadEDP per access (nj·ns)
ResNet50_int, data/cell_cfgs/SRAM_worst_case.cell,0.0422136,0.0111432,30.9456,10.2984,2.227,86.241,121.6233568,86.241,4.298,4.291,5.8629999999999995,4.643,121.57, 2, 146,SRAM_2MB_WriteEDP_1BPC-main_dnn_study.csv,1.3063251801599998,0.43473253824,41.244,528.37086,526.29987,522.5078599999999,521.65687,2.2583527421700005,2.27093795628
ResNet50_int, data/cell_cfgs/SRAM_best_case.cell,0.0422136,0.0111432,30.9456,10.2984,2.227,86.241,121.6233568,86.241,4.298,4.291,5.8629999999999995,4.643,121.57, 2, 146,SRAM_2MB_WriteEDP_1BPC-main_dnn_study.csv,1.3063251801599998,0.43473253824,41.244,528.37086,526.29987,522.5078599999999,521.65687,2.2583527421700005,2.27093795628
ResNet50_int, data/cell_cfgs/SRAM_worst_case.cell,0.0537696,0.0109536,32.5152,10.824000000000002,2.114,90.828,110.70972319999998,90.828,4.516,4.51,7.468,4.564,110.645, 2, 146,SRAM_2MB_WriteDynamicEnergy_1BPC-main_dnn_study.csv,1.74832929792,0.5820021504000001,43.339200000000005,507.14082,503.57295,499.67282,499.00894999999997,2.2711140045,2.29024794312
ResNet50_int, data/cell_cfgs/SRAM_best_case.cell,0.0537696,0.0109536,32.5152,10.824000000000002,2.114,90.828,110.70972319999998,90.828,4.516,4.51,7.468,4.564,110.645, 2, 146,SRAM_2MB_WriteDynamicEnergy_1BPC-main_dnn_study.csv,1.74832929792,0.5820021504000001,43.339200000000005,507.14082,503.57295,499.67282,499.00894999999997,2.2711140045,2.29024794312
ResNet50_int, data/cell_cfgs/SRAM_worst_case.cell,0.015350399999999998,0.0561192,37.8216,12.5904,2.109,91.059,110.5874696,91.059,5.252999999999999,5.246,2.1319999999999997,23.383000000000003,110.516, 2, 146,SRAM_2MB_ReadEDP_1BPC-main_dnn_study.csv,0.5805766886399999,0.19326767615999998,50.412,582.6725479999999,603.1499360000001,580.540548,579.7669360000001,3.164124564256001,3.0607788946439993
ResNet50_int, data/cell_cfgs/SRAM_best_case.cell,0.015350399999999998,0.0561192,37.8216,12.5904,2.109,91.059,110.5874696,91.059,5.252999999999999,5.246,2.1319999999999997,23.383000000000003,110.516, 2, 146,SRAM_2MB_ReadEDP_1BPC-main_dnn_study.csv,0.5805766886399999,0.19326767615999998,50.412,582.6725479999999,603.1499360000001,580.540548,579.7669360000001,3.164124564256001,3.0607788946439993
ResNet50_int, data/cell_cfgs/SRAM_worst_case.cell,0.5356584,0.0318816,19.1808,6.3768,2.083,92.198,107.93154000000001,92.198,2.6639999999999997,2.657,74.39699999999999,13.284,107.36399999999999, 2, 146,SRAM_2MB_ReadLatency_1BPC-main_dnn_study.csv,10.27435663872,3.41578648512,25.5576,360.41469599999994,298.550148,286.01769599999994,285.266148,0.7932477432359999,0.9601447501439998
ResNet50_int, data/cell_cfgs/SRAM_best_case.cell,0.5356584,0.0318816,19.1808,6.3768,2.083,92.198,107.93154000000001,92.198,2.6639999999999997,2.657,74.39699999999999,13.284,107.36399999999999, 2, 146,SRAM_2MB_ReadLatency_1BPC-main_dnn_study.csv,10.27435663872,3.41578648512,25.5576,360.41469599999994,298.550148,286.01769599999994,285.266148,0.7932477432359999,0.9601447501439998
ResNet50_int, data/cell_cfgs/SRAM_worst_case.cell,1.6525151999999999,0.0625992,654.552,218.1672,1.944,98.781,98.6891144,98.781,90.91,90.90299999999999,229.516,26.083000000000002,96.97399999999999, 2, 146,SRAM_2MB_Area_1BPC-main_dnn_study.csv,1081.6571291904,360.52461414144,872.7192,9045.42234,8841.310521999998,8815.90634,8815.227521999997,803.7016503813658,822.3193449293999
ResNet50_int, data/cell_cfgs/SRAM_best_case.cell,1.6525151999999999,0.0625992,654.552,218.1672,1.944,98.781,98.6891144,98.781,90.91,90.90299999999999,229.516,26.083000000000002,96.97399999999999, 2, 146,SRAM_2MB_Area_1BPC-main_dnn_study.csv,1081.6571291904,360.52461414144,872.7192,9045.42234,8841.310521999998,8815.90634,8815.227521999997,803.7016503813658,822.3193449293999
