LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 67193, 42230, 10.340432597145536, 28.7109375, 27.55193463002617,
1, 169204, 152715, 3.877567906196071, 45.0, 38.31240875912409,
2, 169204, 152715, 3.877567906196071, 45.0, 38.31240875912409,
3, 169204, 152715, 3.877567906196071, 45.0, 38.31240875912409,
4, 169204, 152715, 3.877567906196071, 45.0, 38.31240875912409,
5, 34741, 28912, 10.155148095909732, 90.0, 54.570765661252906,
6, 141149, 131628, 4.310338720075948, 100.0, 57.046413502109694,
7, 2221, 999, 18.932913102206214, 50.0, 31.148148148148145,
8, 141149, 131628, 4.310338720075948, 100.0, 57.046413502109694,
9, 141149, 131628, 4.310338720075948, 100.0, 57.046413502109694,
10, 219816, 209413, 1.604978709466099, 100.0, 27.801418439716315,
11, 914051, 895116, 0.5671455969087064, 100.0, 22.052067381317013,
12, 4265, 3052, 10.550996483001173, 100.0, 30.65395095367847,
13, 914051, 895116, 0.5671455969087064, 100.0, 22.052067381317013,
14, 914051, 895116, 0.5671455969087064, 100.0, 22.052067381317013,
15, 3940177, 3909146, 0.08953912476520724, 100.0, 8.781362007168443,
16, 18894437, 18835830, 0.019053227148287086, 100.0, 4.681647940074907,
17, 63346, 59779, 0.8082594007514287, 100.0, 11.169284467713789,
18, 18894437, 18835830, 0.019053227148287086, 100.0, 4.681647940074907,
19, 18894437, 18835830, 0.019053227148287086, 100.0, 4.681647940074907,
20, 1452584, 1440329, 0.0021513385800752314, 97.65625, 0.19148284313725492,
