LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 42071.0, 3584, 1.0, 25188.0, 9408, 255.0, 42353.0, 1548800, -10486.0, 31460.0, 2097200, -377.0, -1.0, 18850, 21056.0, 52421.0, 1548800,
1, 129.0, 33158.0, 3840, 1.0, 24653.0, 36864, 255.0, 33284.0, 933120, -10486.0, 31460.0, 2097200, -1475.0, -1.0, 73750, 15057.0, 41524.0, 933120,
2, 129.0, 33158.0, 3840, 1.0, 24653.0, 36864, 255.0, 33284.0, 933120, -10486.0, 31460.0, 2097200, -1475.0, -1.0, 73750, 15057.0, 41524.0, 933120,
3, 129.0, 33158.0, 3840, 1.0, 24653.0, 36864, 255.0, 33284.0, 933120, -10486.0, 31460.0, 2097200, -1475.0, -1.0, 73750, 15057.0, 41524.0, 933120,
4, 129.0, 33158.0, 3840, 1.0, 24653.0, 36864, 255.0, 33284.0, 933120, -10486.0, 31460.0, 2097200, -1475.0, -1.0, 73750, 15057.0, 41524.0, 933120,
5, 129.0, 5610.0, 3840, 1.0, 4792.0, 73728, 255.0, 5829.0, 501760, -10036.0, -1.0, 501800, -1475.0, -1.0, 73750, 5829.0, 15864.0, 501760,
6, 129.0, 13683.0, 6912, 1.0, 12880.0, 147456, 255.0, 13809.0, 778752, -10486.0, 10486.0, 1048600, -2950.0, -1.0, 147500, 10991.0, 18898.0, 778752,
7, 129.0, 1002.0, 256, 65.0, 128.0, 8192, 255.0, 1222.0, 107648, -2153.0, -1.0, 107650, -164.0, -1.0, 8200, 1222.0, 3374.0, 107648,
8, 129.0, 13683.0, 6912, 1.0, 12880.0, 147456, 255.0, 13809.0, 778752, -10486.0, 10486.0, 1048600, -2950.0, -1.0, 147500, 10991.0, 18898.0, 778752,
9, 129.0, 13683.0, 6912, 1.0, 12880.0, 147456, 255.0, 13809.0, 778752, -10486.0, 10486.0, 1048600, -2950.0, -1.0, 147500, 10991.0, 18898.0, 778752,
10, 129.0, 10262.0, 13824, 1.0, 9954.0, 294912, 255.0, 10403.0, 451584, -4516.0, -1.0, 225800, -5899.0, -1.0, 294950, 10403.0, 19434.0, 451584,
11, 129.0, 18809.0, 27648, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -6636.0, -1.0, 331800, -10486.0, 10486.0, 1048600, 15110.0, 21720.0, 663552,
12, 129.0, 1071.0, 512, 1.0, 735.0, 32768, 255.0, 1213.0, 57600, -576.0, -1.0, 28800, -656.0, -1.0, 32800, 1213.0, 2364.0, 57600,
13, 129.0, 18809.0, 27648, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -6636.0, -1.0, 331800, -10486.0, 10486.0, 1048600, 15110.0, 21720.0, 663552,
14, 129.0, 18809.0, 27648, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -6636.0, -1.0, 331800, -10486.0, 10486.0, 1048600, 15110.0, 21720.0, 663552,
15, 129.0, 70072.0, 55296, 1.0, 69904.0, 1179648, 255.0, 70206.0, 451584, -2258.0, -1.0, 112900, -10486.0, 62921.0, 3670100, 70206.0, 79237.0, 451584,
16, 129.0, 373301.0, 110592, 1.0, 373149.0, 2359296, 255.0, 373427.0, 460800, -2304.0, -1.0, 115200, -10486.0, 367044.0, 18874800, 373427.0, 382642.0, 460800,
17, 129.0, 3432.0, 2048, 1.0, 3250.0, 131072, 255.0, 3567.0, 65536, -328.0, -1.0, 16400, -2622.0, -1.0, 131100, 3567.0, 4877.0, 65536,
18, 129.0, 373301.0, 110592, 1.0, 373149.0, 2359296, 255.0, 373427.0, 460800, -2304.0, -1.0, 115200, -10486.0, 367044.0, 18874800, 373427.0, 382642.0, 460800,
19, 129.0, 373301.0, 110592, 1.0, 373149.0, 2359296, 255.0, 373427.0, 460800, -2304.0, -1.0, 115200, -10486.0, 367044.0, 18874800, 373427.0, 382642.0, 460800,
20, 129.0, 12129.0, 8192, 1.0, 12001.0, 512000, 255.0, 12231.0, 4000, -11.0, -1.0, 550, -10486.0, -1.0, 524300, 12255.0, 12334.0, 4000,
