LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 9408, 2516.0, 148.0, 0.011858024196779103,
1, ellpack_block, 36864, 9792.0, 576.0, 0.08733889310083397,
2, ellpack_block, 36864, 9792.0, 576.0, 0.08733889310083397,
3, ellpack_block, 36864, 9792.0, 576.0, 0.08733889310083397,
4, ellpack_block, 36864, 9792.0, 576.0, 0.08733889310083397,
5, ellpack_block, 73728, 19584.0, 1152.0, 0.4942084942084942,
6, ellpack_block, 147456, 39168.0, 2304.0, 0.7261266939804601,
7, ellpack_block, 8192, 2176.0, 128.0, 0.10474631751227496,
8, ellpack_block, 147456, 39168.0, 2304.0, 0.7261266939804601,
9, ellpack_block, 147456, 39168.0, 2304.0, 0.7261266939804601,
10, ellpack_block, 294912, 78336.0, 4608.0, 1.3291029708681859,
11, ellpack_block, 589824, 156672.0, 9216.0, 1.7524244152880777,
12, ellpack_block, 32768, 8704.0, 512.0, 0.4220939818631492,
13, ellpack_block, 589824, 156672.0, 9216.0, 1.7524244152880777,
14, ellpack_block, 589824, 156672.0, 9216.0, 1.7524244152880777,
15, ellpack_block, 1179648, 313344.0, 18432.0, 2.138531152105813,
16, ellpack_block, 2359296, 626688.0, 36864.0, 2.5161422428503175,
17, ellpack_block, 131072, 34816.0, 2048.0, 1.1486259113853057,
18, ellpack_block, 2359296, 626688.0, 36864.0, 2.5161422428503175,
19, ellpack_block, 2359296, 626688.0, 36864.0, 2.5161422428503175,
20, ellpack_block, 512000, 136000.0, 8000.0, 2.6118184786157363,
