LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 14744.0, 1792, 92.0, 128.0, 2368, 255.0, 14897.0, 774400, -656.0, 8540.0, 459200, -95.0, -1.0, 4750, 798.0, 16019.0, 774513,
1, 129.0, 10629.0, 1536, 1.0, 7641.0, 9216, 255.0, 10803.0, 373248, -656.0, 7883.0, 426400, -369.0, -1.0, 18450, 1406.0, 11777.0, 373361,
2, 129.0, 10629.0, 1536, 1.0, 7641.0, 9216, 255.0, 10803.0, 373248, -656.0, 7883.0, 426400, -369.0, -1.0, 18450, 1406.0, 11777.0, 373361,
3, 129.0, 10629.0, 1536, 1.0, 7641.0, 9216, 255.0, 10803.0, 373248, -656.0, 7883.0, 426400, -369.0, -1.0, 18450, 1406.0, 11777.0, 373361,
4, 129.0, 10629.0, 1536, 1.0, 7641.0, 9216, 255.0, 10803.0, 373248, -656.0, 7883.0, 426400, -369.0, -1.0, 18450, 1406.0, 11777.0, 373361,
5, 129.0, 3095.0, 1536, 1.0, 2297.0, 18432, 255.0, 3503.0, 200704, -656.0, 1970.0, 131200, -369.0, -1.0, 18450, 782.0, 4240.0, 200728,
6, 129.0, 4380.0, 2304, 1.0, 3673.0, 36864, 255.0, 4602.0, 259584, -656.0, 3284.0, 196800, -656.0, 656.0, 65600, 782.0, 5861.0, 259608,
7, 129.0, 954.0, 256, 113.0, 128.0, 2048, 255.0, 1364.0, 107648, -656.0, -1.0, 32800, -41.0, -1.0, 2050, 574.0, 2205.0, 107661,
8, 129.0, 4380.0, 2304, 1.0, 3673.0, 36864, 255.0, 4602.0, 259584, -656.0, 3284.0, 196800, -656.0, 656.0, 65600, 782.0, 5861.0, 259608,
9, 129.0, 4380.0, 2304, 1.0, 3673.0, 36864, 255.0, 4602.0, 259584, -656.0, 3284.0, 196800, -656.0, 656.0, 65600, 782.0, 5861.0, 259608,
10, 129.0, 4927.0, 4608, 1.0, 4701.0, 73728, 255.0, 5150.0, 150528, -656.0, 3941.0, 229600, -656.0, 3941.0, 229600, 2639.0, 5538.0, 150609,
11, 129.0, 23791.0, 7680, 1.0, 23584.0, 147456, 255.0, 23981.0, 184320, -656.0, 11168.0, 590400, -656.0, 22994.0, 1180800, 961.0, 24390.0, 184320,
12, 129.0, 975.0, 512, 97.0, 735.0, 8192, 255.0, 1213.0, 57600, -576.0, -1.0, 28800, -164.0, -1.0, 8200, 950.0, 1709.0, 57600,
13, 129.0, 23791.0, 7680, 1.0, 23584.0, 147456, 255.0, 23981.0, 184320, -656.0, 11168.0, 590400, -656.0, 22994.0, 1180800, 961.0, 24390.0, 184320,
14, 129.0, 23791.0, 7680, 1.0, 23584.0, 147456, 255.0, 23981.0, 184320, -656.0, 11168.0, 590400, -656.0, 22994.0, 1180800, 961.0, 24390.0, 184320,
15, 129.0, 76880.0, 15360, 1.0, 76769.0, 294912, 255.0, 77071.0, 125440, -628.0, -1.0, 31400, -656.0, 76211.0, 3837600, 13749.0, 77613.0, 125440,
16, 129.0, 330749.0, 27648, 1.0, 330597.0, 589824, 255.0, 330875.0, 115200, -576.0, -1.0, 28800, -656.0, 330470.0, 16531200, 73752.0, 331212.0, 115200,
17, 129.0, 1584.0, 1024, 65.0, 1466.0, 32768, 255.0, 1783.0, 32768, -164.0, -1.0, 8200, -656.0, -1.0, 32800, 1783.0, 2438.0, 32768,
18, 129.0, 330749.0, 27648, 1.0, 330597.0, 589824, 255.0, 330875.0, 115200, -576.0, -1.0, 28800, -656.0, 330470.0, 16531200, 73752.0, 331212.0, 115200,
19, 129.0, 330749.0, 27648, 1.0, 330597.0, 589824, 255.0, 330875.0, 115200, -576.0, -1.0, 28800, -656.0, 330470.0, 16531200, 73752.0, 331212.0, 115200,
20, 129.0, 10109.0, 2048, 1.0, 9981.0, 128000, 255.0, 10211.0, 1000, -3.0, -1.0, 150, -656.0, 9854.0, 524800, 10235.0, 10254.0, 1000,
