Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv2D_1, 96, 96, 3, 3, 3, 8, 2, 2
DepthwiseConv2D_1, 48, 48, 3, 3, 8, 1, 1,
Conv2D_2, 48, 48, 1, 1, 8, 16, 1,
DepthwiseConv2D_2, 48, 48, 3, 3, 16, 1, 2,
Conv2D_3, 24, 24, 1, 1, 16, 32, 1,
DepthwiseConv2D_3, 24, 24, 3, 3, 32, 1, 1,
Conv2D_4, 24, 24, 1, 1, 32, 32, 1,
DepthwiseConv2D_4, 24, 24, 3, 3, 32, 1, 2,
Conv2D_5, 12, 12, 1, 1, 32, 64, 1,
DepthwiseConv2D_5, 12, 12, 3, 3, 64, 1, 1,
Conv2D_6, 12, 12, 1, 1, 64, 64, 1,
DepthwiseConv2D_6, 12, 12, 3, 3, 64, 1, 2,
Conv2D_7, 6, 6, 1, 1, 64, 128, 1,
DepthwiseConv2D_7, 6, 6, 3, 3, 128, 1, 1,
Conv2D_8, 6, 6, 1, 1, 128, 128, 1,
DepthwiseConv2D_8, 6, 6, 3, 3, 128, 1, 1,
Conv2D_9, 6, 6, 1, 1, 128, 128, 1,
DepthwiseConv2D_9, 6, 6, 3, 3, 128, 1, 1,
Conv2D_10, 6, 6, 1, 1, 128, 128, 1,
DepthwiseConv2D_10, 6, 6, 3, 3, 128, 1, 1,
Conv2D_11, 6, 6, 1, 1, 128, 128, 1,
DepthwiseConv2D_11, 6, 6, 3, 3, 128, 1, 1,
Conv2D_12, 6, 6, 1, 1, 128, 128, 1,
DepthwiseConv2D_12, 6, 6, 3, 3, 128, 1, 2,
Conv2D_13, 3, 3, 1, 1, 128, 256, 1,
DepthwiseConv2D_13, 3, 3, 3, 3, 256, 1, 1,
Conv2D_14, 3, 3, 1, 1, 256, 256, 1,
AvgPool2D, 3, 3, 3, 3, 256, 1, 1,
FC, 1, 1, 1, 1, 256, 2, 1,



