Layer,M,N,K,
Qmap_text,2,3584,3584,
Kmap_text,2,512,3584,
Vmap_text,2,512,3584,
Qmap_vae,1376,3584,3584,
Kmap_vae,1376,512,3584,
Vmap_vae,1376,512,3584,
Head_0_QKT,1378,4440,128,
Head_0_SFMXxV,1378,128,4440,
Head_1_QKT,1378,4440,128,
Head_1_SFMXxV,1378,128,4440,
Head_2_QKT,1378,4440,128,
Head_2_SFMXxV,1378,128,4440,
Head_3_QKT,1378,4440,128,
Head_3_SFMXxV,1378,128,4440,
Head_4_QKT,1378,4440,128,
Head_4_SFMXxV,1378,128,4440,
Head_5_QKT,1378,4440,128,
Head_5_SFMXxV,1378,128,4440,
Head_6_QKT,1378,4440,128,
Head_6_SFMXxV,1378,128,4440,
Head_7_QKT,1378,4440,128,
Head_7_SFMXxV,1378,128,4440,
Head_8_QKT,1378,4440,128,
Head_8_SFMXxV,1378,128,4440,
Head_9_QKT,1378,4440,128,
Head_9_SFMXxV,1378,128,4440,
Head_10_QKT,1378,4440,128,
Head_10_SFMXxV,1378,128,4440,
Head_11_QKT,1378,4440,128,
Head_11_SFMXxV,1378,128,4440,
Head_12_QKT,1378,4440,128,
Head_12_SFMXxV,1378,128,4440,
Head_13_QKT,1378,4440,128,
Head_13_SFMXxV,1378,128,4440,
Head_14_QKT,1378,4440,128,
Head_14_SFMXxV,1378,128,4440,
Head_15_QKT,1378,4440,128,
Head_15_SFMXxV,1378,128,4440,
Head_16_QKT,1378,4440,128,
Head_16_SFMXxV,1378,128,4440,
Head_17_QKT,1378,4440,128,
Head_17_SFMXxV,1378,128,4440,
Head_18_QKT,1378,4440,128,
Head_18_SFMXxV,1378,128,4440,
Head_19_QKT,1378,4440,128,
Head_19_SFMXxV,1378,128,4440,
Head_20_QKT,1378,4440,128,
Head_20_SFMXxV,1378,128,4440,
Head_21_QKT,1378,4440,128,
Head_21_SFMXxV,1378,128,4440,
Head_22_QKT,1378,4440,128,
Head_22_SFMXxV,1378,128,4440,
Head_23_QKT,1378,4440,128,
Head_23_SFMXxV,1378,128,4440,
Head_24_QKT,1378,4440,128,
Head_24_SFMXxV,1378,128,4440,
Head_25_QKT,1378,4440,128,
Head_25_SFMXxV,1378,128,4440,
Head_26_QKT,1378,4440,128,
Head_26_SFMXxV,1378,128,4440,
Head_27_QKT,1378,4440,128,
Head_27_SFMXxV,1378,128,4440,
Omap,1378,3584,3584,
FFN_up,1378,18944,3584,
FFN_down,1378,3584,18944,
